SMILES,S1err,T1err
CCCCCC#CCCC,-0.7509870000000003,-1.9887
CSCCC(C=O)N,-0.012630999999999837,-0.5592000000000001
C(CSCC(C=O)N)N,0.0015279999999995295,-0.4461000000000004
CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0.32952599999999954,-0.6327000000000003
CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0.3727419999999997,-0.6388000000000003
CC1=CC(=C(C(=C1)C(C)(C)C)O)C,0.2803449999999996,-0.6356999999999995
CCC1=C(C(=CC(=C1)C(C)(C)C)C(C)(C)C)O,0.23006300000000035,-0.6440000000000001
CC1=C(C=CC(=C1)S(=O)(=O)O)N,0.4682139999999997,-0.3163
CC1=CC(=C(C=C1S(=O)(=O)O)C)N,0.4810359999999996,-0.3441000000000001
CC1=C(C=CC(=C1)N)S(=O)(=O)O,0.421398,-0.3129999999999997
CNC1=C2C(=C(C=C1)NCCO)C(=O)C3=CC=CC=C3C2=O,0.17234400000000027,0.28189999999999993
CNC1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O,0.35215900000000033,0.4314
C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCO)NCCNCCO,0.26211100000000004,0.5265
CNC1=C2C(=C(C=C1)N)C(=O)C3=CC=CC=C3C2=O,0.2180950000000004,0.4266
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C4=C(C=C3)NC5=C(N4)C=CC6=C5C(=O)C7=CC=CC=C7C6=O,-0.616422,-0.8751
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)NC4=CC=CC5=C4C(=O)C6=CC=CC=C6C5=O,0.17705600000000032,0.30800000000000005
CC1=NN(C(=O)C1)C2=CC=CC=C2,-0.017266999999999474,-0.1576000000000004
CC1=NN(C(=O)C1)C2=CC=C(C=C2)C,-0.094163,-0.17779999999999996
CC1=NN(C(=O)C1=C(C)C)C2=CC=CC=C2,0.221228,0.05659999999999999
CC1=NN(C(=O)C1)C2=CC=C(C=C2)F,-0.0845400000000005,-0.19849999999999968
CC(C)(C)C1=NN(C(=O)C1)C2=CC=CC=C2,-0.04083099999999984,-0.19620000000000012
CC1=NN(C(=O)CC1)C2=CC=CC=C2,-0.10638999999999932,-0.2320000000000002
C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CO,-0.15864199999999995,-0.6542000000000003
CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,-0.290092,-0.5809
CC(C1=C2C=CC3=CC=CC4=C3C2=C(C=C4)C=C1)O,-0.11767199999999978,-0.6496000000000004
CC1=CC=CC=C1O,0.2518079999999996,-0.6126000000000005
C1=CC(=CC=C1CCO)O,0.14412000000000005,-0.5793999999999997
CC1=C(C=CC=C1O)O,0.23521899999999984,-0.6294999999999997
C1=CC(=CC=C1CO)O,0.13836100000000062,-0.6441999999999997
C1=CC(=C(C=C1O)CO)O,0.20631099999999947,-0.12049999999999984
C1=CC(=CC=C1C=CCO)O,-0.12870899999999974,-0.7612999999999999
C1=CC=C(C=C1)C2=CC=CC=C2,-0.049256999999999884,-1.0450000000000004
CC1=CC=C(C=C1)P(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C,-0.6207589999999996,-1.3238
CC(C)(C1=CC=CC=C1)C(C)(C)C2=CC=CC=C2,0.21188500000000052,-1.3364000000000005
C1=CC=C(C=C1)CCCC2=CC=CC=C2,0.1820389999999996,-1.3236
CC(C)(C1=CC=CC=C1)C2=CC=CC=C2,0.1236259999999998,-1.3146000000000004
CC(=CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,0.15690700000000035,-0.5956999999999999
C1=CC=C(C=C1)CC=CCC2=CC=CC=C2,0.1505219999999996,-1.3156
CCN=C=NCCC[N+](C)(C)C,4.178641000000001,3.6369
CCCCN=C=NCCCN(C)C,-0.3982250000000001,-0.4992999999999999
CN(C)CCCN=C=NCCCN(C)C,-0.22568900000000006,-0.5678999999999998
C(C(F)(F)F)(C(F)(F)F)O,0.1563359999999996,-0.2557999999999998
C(C(C(F)(F)F)(F)F)(C(F)(F)F)O,-0.14776299999999942,-0.5541
C(C(F)F)(C(F)(F)F)O,0.19150000000000045,-0.1936
C(C(F)F)(C(F)F)O,0.1713779999999998,-0.16669999999999965
C(C(C(F)(F)F)O)F,0.061987000000000236,-0.2707999999999995
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,-0.15084199999999992,-0.7797999999999998
CC1=C2C(=CC=C1)N=CC=N2,0.03129599999999977,-0.7116000000000002
CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C,-0.14511299999999985,-0.7521
C1=CC2=C(C(=C1)N)N=CC=C2,-0.11273299999999994,-0.21880000000000036
CC1=C2C=CC3=C(C2=NC=C1)N=CC=C3,-0.13517599999999996,-0.7696999999999998
CC1=CC2=NC=CN=C2C=C1,0.054852000000000345,-0.5400999999999998
CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,-0.32193200000000033,-0.5857999999999999
C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,-0.342044,-0.5895999999999999
C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,-0.011674000000000184,-0.5917999999999997
C1=CC=C2C(=C1)C3=C4C2=CC5=CC=CC6=C5C4=C(C=C6)C=C3,-0.10464800000000007,-0.5425000000000002
C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC5=C4C3=CC=C5,0.0262680000000004,-0.3551000000000002
C1=CC=C2C(=C1)C=C3C4=CC=CC=C4C5=C3C2=CC6=CC=CC=C65,-0.11101399999999996,-0.4373999999999998
C1=CC2=C3C(=C1)C4=CC=CC5=C4C3=C(C=C2)C=C5,0.041665999999999766,-0.4232999999999998
CC1C=CC=C(N1)C,0.6561429999999997,0.19460000000000036
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,-0.3897429999999997,-0.6021999999999998
C1=CC=C2C=C3C=CC=CC3=CC2=C1,-0.29042100000000026,-0.5256000000000003
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,-0.02555900000000033,-0.8078000000000003
CC1=C2C=CC3=CC=CC4=C3C2=C(C=C1)C=C4,-0.12927199999999986,-0.6382000000000003
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,-0.3242309999999997,-0.637
C1=CC2=C(C=CC3=C2C=CC=N3)N=C1,-0.07517700000000005,-0.8725
C1=CC=C(C=C1)C2=CC3=CC=CC=C3C=N2,-0.3918979999999999,-0.7467999999999999
C1=CC=C(C=C1)C2=NC=CC3=CC=CC=C32,-0.26424999999999965,-0.6869000000000001
C1=CC=C2C(=C1)C=NC3=CC=CC=C23,-0.019782000000000192,-0.8435000000000001
CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,-1.8703490000000003,-1.8715
CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,0.8556029999999994,-1.581
CCC(=O)OC(CC(=O)O)C[N+](C)(C)C,4.657516,4.1096
CC(=O)OC(CC(=O)O)C[N+](C)(C)C,4.881986,4.3232
CCOC(=O)CC(C(=O)OCC)O,-0.4051650000000002,-0.9247000000000004
CC(C)OC(=O)C(C(C(=O)OC(C)C)O)O,-0.5040720000000007,-1.0059000000000005
CCCCOC(=O)C(C(C(=O)OCCCC)O)O,-0.387435,-0.8418999999999999
C1=CC(=CC(=C1)C(=O)O)C2=CC(=CC=C2)N,-0.4179249999999999,-0.5265
C1=CC(=CC(=C1)N)C2=CC=C(C=C2)C(=O)O,-0.4676260000000005,-0.5958999999999999
C1=CC=C(C(=C1)C2=CC=C(C=C2)C(=O)O)N,-0.4436529999999999,-0.5105999999999997
C1=CC=C(C(=C1)C2=CC(=CC=C2)C(=O)O)N,-0.6304390000000001,-0.5254000000000003
C1=CC2=C(C=CC(=C2)C(=O)O)C(=C1)N,0.03534899999999963,-0.23760000000000006
C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,-0.22662100000000016,-0.7413000000000003
C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,-0.4557669999999998,-0.6412000000000002
C1=CC=C2C3=C4C(=CC2=C1)C5=CC=CC=C5C6=CC=CC(=C64)C=C3,-0.3460779999999999,-0.6719000000000004
C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4,-0.2965459999999997,-0.6034000000000002
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,-0.4572129999999999,-0.5702999999999998
CC1=CC2=CC=CC=C2C3=C1C4=CC=CC=C4C=C3,-0.098039,-0.6661999999999999
CC1=C2C=CC3=CC=CC=C3C2=CC4=CC=CC=C14,-0.3593120000000001,-0.6139999999999999
CC1=C2C(=CC3=CC=CC=C13)C=CC4=CC=CC=C42,-0.3063789999999997,-0.5905999999999998
CC1CC2C(C(C3(C1CCC3=O)C)O)C(=C)C(=O)O2,-0.26258300000000023,-1.0428999999999995
CC(=O)NC1=NC=NN1,-0.034691999999999716,-0.3803999999999999
CC(C)(C)C(=O)NC1=NC=NN1,-0.8455390000000005,-0.9131999999999998
C1=CC(=CC(=C1)F)F,0.2485049999999997,-1.1101
C1=C(C(=C(C(=C1F)F)F)F)F,0.4227059999999998,-0.9032999999999998
C1=CC(=CC=C1F)F,0.10735600000000024,-0.9633000000000004
C1=CC=C(C(=C1)F)F,0.2518130000000003,-0.959
C1=CC(=C(C(=C1)F)F)F,0.3392300000000006,-1.2028000000000003
C1=NN=CN=N1,0.3573609999999998,-0.44709999999999983
C1=NN=C(N=N1)Cl,0.5403519999999999,-0.2745
C1=NN=C(N=N1)N=N,0.4608160000000001,-0.0693999999999999
C1=NSC(=N1)N,0.5230740000000003,-0.1572
C1=NSC(=N1)Cl,-0.33248699999999953,-0.6532000000000004
C1=NSC(=N1)Br,-0.4454389999999995,-0.7406999999999999
C1=NC(=NS1)Cl,-0.6118670000000002,-0.7395999999999998
C1=NC(=NS1)Br,-0.5957939999999997,-0.8459999999999996
C1=NSC(=N1)F,-0.12125500000000056,-0.5041000000000002
C1=NNN=C1CC(=O)N,0.2310339999999993,-0.5220000000000002
CC(C1=NNN=C1)C(=O)N,0.3416319999999997,-0.4684999999999997
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,-0.13812800000000006,-1.3817999999999997
C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,-0.10745800000000028,-1.3895999999999995
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,-0.17192199999999944,-1.3293000000000004
C1=CC(=C(C=C1Cl)Cl)Cl,-0.10640800000000006,-1.3535999999999997
C1=CC(=C(C(=C1)Cl)Cl)Cl,-0.03013200000000005,-1.4505
C1=CC(=C(C(=C1Cl)Cl)Cl)Cl,-0.11667399999999972,-1.3299000000000003
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,-0.1030129999999998,-1.3586000000000005
C1=CC(=CC=C1CC(C(=O)O)N)Cl,0.0952339999999996,-1.2589
C1=CC=C(C(=C1)C(CC(=O)O)CN)Cl,0.17338200000000015,-1.3821999999999997
C1CCNC(C1)C2=CN=CC=C2,-0.4220300000000004,-0.9803000000000002
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,2.337615,-0.1878
CC1=CN=C(C=C1)C2=NC=C(C=C2)C,-0.2276599999999993,-0.7589999999999999
C1=CC=C(C=C1)C2=CC=NC=C2,-0.3216829999999993,-1.0795999999999997
C1=CN=CC=C1C2=CC=NC=C2,2.311242,1.7551
C1=CC=C(C=C1)CCCC2=CC=CC=N2,-0.251525,-1.1258
C[N+]1=CC=C(C=C1)C2=CC=CC=C2,1.5618719999999997,0.7799999999999998
C1=CN=CC=C1CCC2=CC=NC=C2,-0.4616110000000005,-1.1311999999999998
C1CCC(C(C1)N)(N)N,-0.8655730000000004,-1.0019
C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N,-0.2247049999999997,-0.19069999999999965
C1=CC(=CC=C1C(=O)C(=O)C2=CC=C(C=C2)N)N,-0.34858299999999964,-0.6385999999999998
C1=CC(=CC(=C1)N)C(=O)C2=CC(=CC=C2)N,-0.055790000000000006,-0.1990000000000003
C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,-0.2831680000000003,-0.3277999999999999
C1=CC=C(C=C1)C(=O)C2=CC(=C(C=C2)N)N,0.032825000000000326,-0.1213000000000002
C(CCl)Cl,-0.4825569999999999,-1.1564000000000003
C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,-0.20600099999999968,-0.7337999999999996
C1=CC=C(C=C1)CN2C=NC3=CC=CC=C32,0.13207000000000058,-0.6768999999999994
CC1=NC2=CC=CC=C2N1C3=CC=CC=C3,-0.13844299999999965,-0.5661999999999998
CN1C2=CC=CC=C2N=C1C3CCCCC3,0.24697999999999976,-0.6656999999999997
C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC=N4,-0.10845600000000033,-0.6902999999999997
C1=CC=C2C(=C1)C=CC3=C2N=CN3,0.002443999999999669,-0.5857000000000001
CC1=CC=CC=C1C2=NC3=C(N2)C4=CC=CC=C4C5=CC=CC=C53,-0.13443399999999972,-0.6088999999999998
C1=CC(=CC=C1N)N,0.05511400000000055,-0.1177999999999999
C1=CC=C(C(=C1)N)N,0.24747900000000025,0.15260000000000007
C1=CC=C(C(=C1)N)N=NC2=CC=CC=C2N,0.9455790000000001,0.11780000000000013
