train_size,MAE_ML,MAE_PBE,MAE_CAM
100,0.3571763831420326,0.2663347672813825,0.19217254526643143
500,0.2817413103868574,0.26628844574720195,0.19226150389489885
1000,0.2504508872126542,0.26620325711697956,0.19204231384431875
2500,0.2066982243936758,0.2661756846988647,0.19165012628171635
5000,0.17996437341358068,0.2655963351340652,0.19191031011395374
7500,0.1631334227102851,0.2644827895075534,0.19082591149570483
10000,0.15314845939061433,0.2647982219964982,0.19065098720965565
15000,0.14221712390640617,0.26455981526425315,0.19098217458255132
