smiles,xtbMLS1,xtbMLT1,FOM
CN(C)c1cnc[nH]1,4.50473958747983,4.030174111498437,0.9000112302139505
N#Cc1c([N+](=O)[O-])ccc2nccnc12,3.042029020723407,2.721567735082916,0.9000143374416228
O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2c1cccc2S(=O)(=O)O,2.9531890838943005,2.6422183791432436,0.9000544979799266
Oc1[nH]cnc1S,3.940461398998307,3.525569325986618,0.9000632625117987
CSc1cc2cnncc2cc1C#N,3.3295791923259546,2.9790157068562038,0.9000656039666639
O=[N+]([O-])c1cnc2cccnc2c1F,3.5098812906561694,3.1403401446004344,0.9000671218563185
N#CC1=CC(=O)c2cc(F)ccc2C1=O,2.7106692862424677,2.4254704324705805,0.9001323733555995
CN(C)c1c(C(=O)O)ccc2c1cnc1ccccc12,3.968384773264599,3.550935467933333,0.9001500948959856
Nc1cc(S(=O)(=O)O)c[nH]1,4.349107131460418,3.891704534695033,0.900170031630158
O=C(O)c1cnc2c(n1)c1ccccc1c1cccc([N+](=O)[O-])c12,3.270195532982016,2.9264326342144162,0.9002165054475215
N#Cc1nnc(S(=O)(=O)O)c2onnc12,3.279765482932087,2.9350110730899037,0.9002204803888451
N#Cc1ccc2c(c1)C(=O)c1ccc(C(=O)O)cc1C2=O,2.7713548184889416,2.4802088671928413,0.9002745932668624
CSc1cc2ncccc2cc1[N+](=O)[O-],2.6610803789488955,2.3815517091310747,0.9002855376030239
COc1nnc(S(=O)(=O)O)c2snnc12,3.7595668984498,3.36473684662624,0.9003064357781619
CSc1c[nH]cc1O,4.912675283219067,4.39674647405912,0.9003065802496476
N#Cc1cnc([N+](=O)[O-])c2ncccc12,3.1126217673057774,2.7858230075112997,0.9003321951874117
O=C1c2ccccc2C(=O)c2c1ccc(S(=O)(=O)O)c2F,2.8035479285678453,2.509221129662058,0.9003392094804895
O=C1C=CC(=O)c2cc(F)c(F)cc21,2.621480063440817,2.34631114106676,0.9003542253523101
CN(C)c1cccc2nnc3cc(O)ccc3c12,2.428579528015364,2.173682026751502,0.9003628370733625
O=[N+]([O-])c1cccc2c1S(=O)(=O)c1c(O)cccc1-2,3.6550610125114193,3.271498943831134,0.9003785520469778
N#Cc1ccnc2nccc([N+](=O)[O-])c12,3.1112993624692074,2.784998690269472,0.9004361580970559
O=[N+]([O-])c1ncc2ncccc2c1S(=O)(=O)O,3.6074536448580963,3.2292016808568076,0.9004569731294378
O=C(O)c1cc2nc([N+](=O)[O-])nc3ccc4ncnc1c4c32,2.776813362258739,2.485747942370244,0.900486646416453
O=C1C=CC(=O)c2c1cc(O)cc2[N+](=O)[O-],2.6585444391390745,2.380004917896081,0.9005303269700419
O=[N+]([O-])C1=C(S(=O)(=O)O)N=CS1(=O)=O,2.6220463538069883,2.347347963903622,0.9005362254931081
CSc1ccnc2cc(S(=O)(=O)O)ncc12,3.193292420678607,2.858762218388773,0.9005403758937235
COc1nc(N)c[nH]1,4.3773791755979605,3.9188425939381024,0.9005483742364907
CN(C)c1coc(N(C)C)n1,3.9903471012894687,3.5724517398173568,0.900570732781863
N#Cc1nnc(F)c2nsnc12,3.0415888921706307,2.7231415731471635,0.9005967443661587
Nc1ccc2c(c1)nnc1ccc(N)cc12,2.8363581918401515,2.539415901075491,0.9006024117183546
N#CC1=CS(=O)(=O)C(C(=O)O)=N1,2.269440737411757,2.031858194842659,0.9006057332871658
N#Cc1nnc(C(F)(F)F)c2onnc12,2.9812133245244983,2.6691464898239725,0.9006146591540697
Nc1ccc(O)[nH]1,3.9181192385188157,3.5080437178380763,0.9006294986056145
CN(C)c1cccc2nnc3ccc(N)cc3c12,2.9203871841951443,2.614744142769477,0.9006321286472974
CSc1ccccc1C(=O)O,4.654810933508257,4.167696571123621,0.9006419361078748
O=S(=O)(O)C1=CN=C(O)S1(=O)=O,3.150549978463819,2.8209329251680377,0.9006648485650822
O=C1C=C(S(=O)(=O)O)C(=O)c2ccc(F)cc21,1.8918541490307192,1.6939437683595207,0.9006740427102642
O=C(O)c1cc2nc([N+](=O)[O-])ccc2c2cccnc12,3.3206744159029578,2.973326963486196,0.900683393068878
O=[N+]([O-])c1cc(C(F)(F)F)cc2cnncc12,3.0388875385061205,2.7210558161229423,0.9006953689552629
CN(C)c1ccc(F)[nH]1,4.2156394742608265,3.7749555766009886,0.9007428381184343
O=C(O)c1ccc([N+](=O)[O-])c2cnncc12,2.828420070034092,2.5328098820945026,0.9007619660322637
O=C(O)c1ccc2c(c1)C(=O)c1cccc(S(=O)(=O)O)c1C2=O,2.946050465147975,2.638191192896089,0.9007757150922119
CSc1c([N+](=O)[O-])ccc2c3ncccc3c3ccccc3c12,2.5714673550726705,2.3028569717176546,0.9008126144958649
CSC1=CS(=O)(=O)C=C1[N+](=O)[O-],2.4198260382870753,2.167116802417695,0.9008353213895055
O=[N+]([O-])c1cccc2c3ccccc3c3c(O)ccnc3c12,3.7669639109736957,3.37373073245653,0.9008739321240287
O=C1C=CC(=O)c2c1cccc2S(=O)(=O)O,2.761923040493008,2.4737720243214847,0.9009280773942646
O=[N+]([O-])c1cccc2c1nc(S(=O)(=O)O)c1cccnc12,3.0441972605736725,2.7266232592658186,0.9009359620710008
O=[N+]([O-])c1cccc2c3ccc(F)cc3c3nccnc3c12,3.5630990690137567,3.1913926999486626,0.9009359718685589
Oc1noc2cnnc(F)c12,3.738680930128168,3.3487826791772894,0.9009660966075264
N#Cc1cccnc1[N+](=O)[O-],3.3854566989106956,3.032401963422776,0.9009678504527356
