smiles,xtbMLS1,xtbMLT1,FOM
N#Cc1cc(O)cc2cc3ccccc3cc12,3.0851321076570493,1.6283454518905127,0.900002498441776
Nc1cc2csc(O)c2cn1,2.866284278604892,1.5128311032208057,0.9000087674269892
CSc1occ2nccc(S(=O)(=O)O)c12,2.5714845945294424,1.3572207370969704,0.900026921116984
N#Cc1cnc(F)c2cc3cnccc3cc12,3.176216570430142,1.676388911220223,0.9000343323702402
FC(F)(F)c1ccc2c(S)c3cccnc3cc2c1,2.953575448846317,1.5588704836715466,0.9000449641632027
Nc1sc(C(=O)O)c2ncccc12,2.6022898588936867,1.3734537306760823,0.9000591024053836
N#Cc1scc2cnc(S(=O)(=O)O)cc12,3.344773562426615,1.765325990486856,0.9000597724202885
CSc1ncc2c(F)occ2n1,2.999409585122655,1.5830413624965751,0.9000664713121226
FC(F)(F)c1cnc(C(F)(F)F)c2cscc12,2.6380484393617283,1.3923090426109002,0.9000806448632063
O=S(=O)(O)c1cc2cc3cnccc3cc2cn1,3.302046499547727,1.7427363265437459,0.9000978399872184
Oc1nc(F)cc2cc3cnccc3cc12,3.2764023514961096,1.7291890552367737,0.9001106033763526
O=C(O)c1cc2cc3cnccc3c(C(F)(F)F)c2cn1,3.2171439365158014,1.697900212231794,0.9001246558592989
COc1oc(C(=O)O)c2ncccc12,2.936539306707253,1.5498012880940162,0.9001304352426465
Nc1c2cnccc2cc2cccc(F)c12,2.9616294588958536,1.5630251518651204,0.900149889810616
O=S(=O)(O)c1c2ccccc2c(S)c2cccnc12,2.825812839872451,1.4913437603650679,0.9001533379266901
Nc1cc(S(=O)(=O)O)c2cc3nsnc3cc2c1,2.912100912312033,1.5368757527637036,0.9001613064368615
COc1cc2cc3c(C(=O)O)cccc3cc2cn1,2.952539035305553,1.5582008086465506,0.9001792199302584
Fc1c2cnccc2cc2cnc(C(F)(F)F)cc12,3.1863669829559482,1.681583819395899,0.9001990571362015
CSc1cncc2cc3ccncc3c(C#N)c12,2.4246837203321676,1.2795985258559361,0.9002151292886432
COc1ccnc2c(S)occ12,3.174485531883315,1.675280115958999,0.9002330115952691
CSc1scc2c(F)nccc12,2.7250407487170203,1.4380823223057537,0.9002461108139862
Nc1occ2cc(S)ncc12,2.9218475010051947,1.5419281766662214,0.9002624019093535
COc1cc2cc3cnsc3cc2c(C#N)n1,2.899441550388641,1.5300959816609787,0.9002713701769279
COc1scc2cc(C(F)(F)F)cnc12,2.535605757107028,1.338077118286885,0.9002906236894862
Nc1c2cnccc2cc2c(S)nccc12,2.8517101459652143,1.5048861102670639,0.9002951882169624
CSc1cc2c(=O)n(C)c(=O)c3cc(N)c4c5ccc6c(=O)n(C)c(=O)c7ccc(c1c4c32)c5c67,2.237165772925355,1.1805813394551081,0.9002971716910542
Fc1ccc2cc3ccnc(C(F)(F)F)c3cc2c1,3.1056658270783704,1.6388916772935112,0.9003058990615642
FC(F)(F)c1cccc2cc3cnccc3cc12,3.259089734896693,1.7198523520717217,0.9003085708115895
N#Cc1ccnc2cc3ccc(C(=O)O)cc3cc12,2.989123336559131,1.5773803711639556,0.9003174069161863
COc1ccc2cc3cccnc3cc2c1F,3.106030914250326,1.6390638629155734,0.9003272108387997
Nc1cc2coc(N)c2cn1,2.86916649449521,1.5140635339297122,0.9003340949914874
COc1occ2cc(SC)ccc12,3.0608146824907765,1.6151749672399323,0.9003569199535008
CSc1nc(F)c2cocc2n1,3.2212727625654507,1.6998379493527094,0.9003668156113435
CSc1cncc2csc(O)c12,2.8355598122264785,1.4962996346447612,0.9003678488309773
FC(F)(F)c1c2ncccc2cc2cccc(S)c12,2.6196400062468337,1.3823472548193192,0.9003844171778401
N#Cc1ccnc2cc3ccccc3cc12,2.954458871072695,1.5590173100975553,0.9003944417046911
CSc1ncc2cc3nsnc3cc2c1SC,2.6101469709232155,1.3773219890011907,0.9004041451920749
CSc1cc2c(N)c3ccccc3cc2cn1,2.7502472059791976,1.4512247344579243,0.9004339250995006
COc1cccc2c(O)c3ccncc3cc12,3.053949876475493,1.6114759936369003,0.9004378714748452
N#Cc1nccc2cc3c(C(=O)O)cncc3cc12,3.131070246850564,1.6521493034733359,0.9004593058154827
O=S(=O)(O)c1cc2cc3cc(F)ccc3cc2cn1,3.3048875486666027,1.74384526811971,0.900479817316214
COc1cc2cc3cc(F)ncc3cc2cn1,3.042684826376273,1.6054777838783525,0.9004952556334115
Nc1cc2cscc2cn1,3.1031958833373294,1.637401342234858,0.9005006785390361
O=C(O)c1occ2ncc(C(F)(F)F)cc12,3.351402461523433,1.7683670866911485,0.9005011217781013
CN(C)c1c2cnccc2cc2cnc(N)cc12,2.4885801302139003,1.3130929027258353,0.9005090363697771
O=C(O)c1cncc2c(C(=O)O)scc12,2.9754735581181335,1.56999919047393,0.9005109677509804
O=C(O)c1ccc([N+](=O)[O-])c2cocc12,2.3308120428619716,1.2298413435385134,0.9005168544547096
CN(C)c1c2cnccc2cc2ccnc(C#N)c12,2.29561064293348,1.2112553768653973,0.9005339369802473
COc1ccc(F)c2nonc12,2.9955930710599867,1.5805812967003874,0.9005475627722672
N#Cc1c2cnncc2c(C(F)(F)F)c2nsnc12,2.7660111431712426,1.4594386951916363,0.9005557753129562
N#Cc1cc(F)nc2cc3ccccc3cc12,2.94905957965352,1.556015370315031,0.9005620456647957
Nc1occ2cc(O)ccc12,3.038448092783535,1.603176096837612,0.9005656947644046
Oc1ccc2cocc2c1C(F)(F)F,3.3712611772616663,1.7787677762737766,0.9005757304589131
