,SMILES,UMAP_0,UMAP_1,global_cluster
70,CC[Si](CC)(CC)C#C,10.13147,1.4250042,-1
71,CC(C)(C)[Si](C)(C)C#C,9.941856,1.121244,-1
72,CC(C)[Si](CC#C)(C(C)C)C(C)C,9.123531,2.5178974,-1
73,CC[Si](CC)(CC)C#CC#C,10.119782,1.1841762,47
74,CC(C)[Si](C#CC#C)(C(C)C)C(C)C,9.776075,1.2381288,-1
75,C[Si](C)(C)C(C#C)[Si](C)(C)C,9.89678,1.5996118,-1
76,COC1=CC=C(C=C1)N=C(N)N=C(N)N,2.199756,-1.3667074,-1
77,CN(C)C=NC1=CC=C(C=C1)OC,1.5101699,-1.2895931,-1
78,COC1=CC=C(C=C1)N=C,1.9860429,-1.4122947,-1
79,CC(=NC1=CC=C(C=C1)OC)N(C)C,2.2224872,-1.4692607,-1
80,CN(C)C(=NC1=CC=C(C=C1)OC)N(C)C,2.1334412,-1.2121298,-1
81,COC1=CC=C(C=C1)N=C(N)NC#N,2.3768158,-1.3803699,2652
82,CN1CCC(=CC1)C2=CC=CC=C2,2.0899553,5.5494103,-1
83,CC(CC1=CC=CC=C1)N(C)C,4.973909,-0.55816656,-1
84,C1CCN(CC1)CCCC2=CC=CC=C2,3.9675796,4.072357,-1
85,CCCN1CCC(=CC1)C2=CC=CC=C2,2.3857691,5.52587,-1
86,CCN1CCC(=CC1)C2=CC=CC=C2,2.2982404,5.4081798,-1
87,CN1CCCCC1CCC2=CC=CC=C2,4.49284,4.550125,-1
88,C1CN(CC=C1)CCC2=CC=CC=C2,3.8906376,4.5811734,-1
89,C1CC1N2CCC(=CC2)C3=CC=CC=C3,2.1419587,5.916499,3127
90,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,1.2074735,6.110427,-1
91,CCCCCC#CC,10.402527,1.3565105,-1
92,CCCCCC#CCC,10.440704,1.1294191,-1
93,CCCCCC#CCCCCC,10.414663,1.224296,-1
94,CCCCCC#CCCCC,10.460731,1.2233275,-1
95,CCCCC#CCC,10.308492,1.2454231,-1
96,CCCCCC#CCCC,10.459647,1.3038535,-1
97,CCC#CCCCCC#CCC,10.307794,1.1982095,-1
98,CC#CCCCCC#CC,10.129119,1.5491049,-1
99,CSCCC(C=O)N,8.327919,2.0884223,841
100,C(CSCC(C=O)N)N,8.15733,1.9743617,861
101,CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,-0.5729911,0.42363572,-1
102,CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,-0.68029773,0.45024478,-1
103,CC1=CC(=C(C(=C1)C(C)(C)C)O)C,-0.6131891,0.5716714,3224
104,CCC1=C(C(=CC(=C1)C(C)(C)C)C(C)(C)C)O,-0.34041965,0.47681138,3338
105,CC1=C(C=CC(=C1)S(=O)(=O)O)N,0.70130605,1.0471433,-1
106,CC1=C(C=C(C=C1)S(=O)(=O)O)N,0.8139061,0.6474957,-1
107,CC1=CC(=C(C=C1S(=O)(=O)O)C)N,-0.3848107,1.0959674,-1
108,CC1=C(C=CC(=C1)N)S(=O)(=O)O,0.34305453,1.0497402,-1
109,CC1=C(C=CC(=C1)S(=O)(=O)N)N,0.2634364,0.6783113,-1
110,CNC1=C2C(=C(C=C1)NCCO)C(=O)C3=CC=CC=C3C2=O,0.07489734,4.4544735,-1
111,CNC1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O,-0.1821558,4.585783,-1
112,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCO)NCCNCCO,0.4045683,4.360248,-1
113,CNC1=C2C(=C(C=C1)N)C(=O)C3=CC=CC=C3C2=O,-0.31900945,4.6108937,-1
114,CNC1=C2C(=C(C=C1)NC)C(=O)C3=CC=CC=C3C2=O,0.057232473,5.0597935,-1
115,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C4=C(C=C3)NC5=C(N4)C=CC6=C5C(=O)C7=CC=CC=C7C6=O,-2.1965103,3.0722365,-1
116,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)NC4=CC=CC5=C4C(=O)C6=CC=CC=C6C5=O,-0.021458616,5.0648556,-1
117,CC1=NN(C(=O)C1)C2=CC=CC=C2,1.7567387,5.38002,-1
118,CC1=NN(C(=O)C1)C2=CC=C(C=C2)C,2.0256524,5.21547,2382
119,CC1=NN(C(=O)C1=C(C)C)C2=CC=CC=C2,1.2272042,5.457818,1323
120,CC1=NN(C(=O)C1)C2=CC=C(C=C2)F,2.1376038,5.0995097,-1
121,CC(C)(C)C1=NN(C(=O)C1)C2=CC=CC=C2,1.9053925,5.240136,-1
122,CC1C(=NN(C1=O)C2=CC=CC=C2)C,1.8061337,5.6921535,-1
123,CC1=NN(C(=O)CC1)C2=CC=CC=C2,1.6843253,5.5638576,3077
124,CC(=C)C1=NN(C(=O)C1)C2=CC=CC=C2,1.9558555,5.1334753,-1
125,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2CO,-1.2344093,1.6612213,-1
126,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CO,-1.1577541,1.7537013,-1
127,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,-1.2800298,1.7395287,-1
128,CC(C1=C2C=CC3=CC=CC4=C3C2=C(C=C4)C=C1)O,-0.8533831,0.9278377,-1
129,CC1=CC=CC=C1O,0.2871506,1.1196511,-1
130,C1=CC(=CC=C1CCO)O,2.7908146,-0.35302767,-1
131,C1=CC=C(C(=C1)CO)O,1.0918489,0.49960926,-1
132,CC1=C(C=CC=C1O)O,-0.14724739,1.0270226,-1
133,C1=CC(=CC=C1CO)O,2.6782782,-0.45737937,-1
134,C=CCC1=CC=CC=C1O,-0.05576301,0.15100534,4126
135,C1=CC(=C(C=C1O)CO)O,-0.34242135,0.32422042,-1
136,C1=CC(=CC(=C1)O)CO,2.9603782,0.050722186,5344
137,C1=CC(=CC=C1C=CCO)O,1.0792574,-1.7978057,-1
138,CCOCC1=CC=CC=C1O,1.1855873,0.5247967,-1
139,CCOP(=S)(OCC)SC1C(OCCO1)SP(=S)(OCC)OCC,10.088569,0.54084176,-1
140,C1=CC=C(C=C1)C2=CC=CC=C2,1.9782343,-0.4401563,-1
141,CC1=CC=C(C=C1)P(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C,2.566512,-1.3265008,-1
142,CC(C)(C1=CC=CC=C1)C(C)(C)C2=CC=CC=C2,3.9512675,-2.0170555,-1
143,C1=CC=C(C=C1)CCCC2=CC=CC=C2,4.6498528,-0.27390844,1596
