SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1
C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=CN=C4,9172,3.169,3.838,2.5174,3.671771,-0.6516000000000002,-0.16622899999999996,0.0362,0.049342,0.013141999999999994,2.4680245126256324,3.6227337345426776
B(C1=C(C=CC=C1O)O)(O)O,44118844,3.904,4.485,3.6209,4.790181,-0.28310000000000013,0.30518099999999926,0.0606,0.035428,-0.025172,3.290134700125522,4.683926870001389
C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)O,10752,3.002,3.908,2.6799,3.811911,-0.32209999999999983,-0.09608900000000009,0.2215,4.2e-05,-0.22145800000000002,2.5285840626287026,3.7206842694692734
CCCCCC(=O)CP(=O)(O)O,4369424,4.451,4.46,4.0145,4.574714,-0.43649999999999967,0.1147140000000002,0.0066,0.001205,-0.0053950000000000005,3.9619519332311293,4.54441516441368
CC1=CC(=CN1)OC(F)F,59058142,4.563,4.663,3.9815,4.818279,-0.5814999999999997,0.15527900000000017,0.0011,0.002479,0.0013789999999999998,4.254167930561576,4.7510588764886235
C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,8515,2.381,3.163,2.1944,3.198131,-0.18659999999999988,0.035131000000000245,0.228,1e-05,-0.22799,2.060759608176433,3.0939543591416188
C1=CC=C2C(=C1)C3=C(C=C2O)C(=CC=C3)O,298916,3.125,3.766,2.6498,3.717286,-0.47520000000000007,-0.048713999999999924,0.0366,0.033965,-0.0026349999999999985,2.634059106230741,3.6647597308069
C1=CC=C(C=C1)CCC#N,12581,5.074,5.072,3.7405,5.307156,-1.3335,0.23515599999999992,0.0001,4.7e-05,-5.300000000000001e-05,3.7200884846383944,5.361840068171323
CC1=CCCC(=CC=CCC1)C,21160126,4.046,5.274,1.8368,3.003798,-2.2092,-2.270202,0.3632,0.000594,-0.36260600000000004,3.225025013305385,5.200374062573823
C(C(C(=O)O)S)(C(=O)O)S,197883,4.934,5.001,4.8955,5.375177,-0.03849999999999998,0.37417699999999954,0.0251,0.005186,-0.019914,4.577262820869084,5.042822063088897
