SMILES,xtbS1,xtbT1,S1err,T1err,S1fLerr
c1ccc2cc3snnc3cc2c1,3.658,2.613,-0.11693126083746211,-0.5633322824776761,-0.07777794762508053
c1cc2cc3nnsc3cc2cn1,3.628,2.563,-0.2038710498198141,-0.6137958341017168,-0.07107026960630518
c1nncc2cc3snnc3cc12,3.461,2.793,-0.18358069271811353,-0.6226685518530521,-0.08322966966747251
c1ccc2cc3oncc3cc2c1,3.844,2.809,-0.0919727875168413,-0.5174173217560907,-0.07239242141113668
c1cc2cc3cnoc3cc2cn1,3.829,2.776,-0.12313299522626915,-0.5586459926135594,-0.059523286357248774
c1nncc2cc3oncc3cc12,3.466,3.128,-0.09355263524865556,-0.5664512203491949,-0.06419873439148104
c1ccc2cc3onnc3cc2c1,3.513,2.603,-0.03418227767990213,-0.5467939644972761,-0.05785362863476282
c1cc2cc3nnoc3cc2cn1,3.538,2.58,-0.12157564703426511,-0.5982415724972746,-0.04681058108847046
c1nncc2cc3onnc3cc12,3.326,2.972,-0.09741288542404539,-0.6041421318013672,-0.06198271446792014
c1c2c(cc3nsnc13)N=S=N2,3.255,1.808,0.42058580741439605,-0.1302291319723507,-0.028262873968016945
Cn1c(=O)c2ccc3c(=O)n(C)c(=O)c4ccc(c1=O)c2c34,3.491,2.495,-0.24260149958367144,-0.4907675913278918,-0.09859748573672203
c1nc2scnc2s1,4.597,3.307,-0.193367444687012,-0.5831364605672824,-0.06012731436674988
Cn1c(=O)c2ccc3c4ccc5c(=O)n(C)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,2.321,1.715,-0.2722668386147934,-0.5009848450127083,-0.15602534990937877
CC1(C)c2ccsc2-c2sccc21,3.761,2.566,-0.06610747572742863,-0.38681425347227394,-0.18169675543911945
CC1(C)c2ncsc2-c2scnc21,3.672,2.492,-0.14371813844410672,-0.4247269135628846,-0.19801947659763885
c1nc2[nH]c3ncsc3c2s1,4.384,3.145,-0.12541778076676297,-0.51416290439783,-0.009719803382981677
O=C1c2ccccc2C(=O)c2ccccc21,2.903,2.903,0.08859985047866199,-0.2621231034715623,0.011352143129942182
c1ccc2cc3cc4ccccc4cc3cc2c1,2.836,1.654,-0.2482438551632018,-0.5372845339972738,-0.11084228157511433
c1ccc2cccc-2cc1,1.62,1.352,0.1993088844008531,-0.4646204872705102,0.1077224203552978
O=C1C=CC(=O)C=C1,1.974,1.974,0.46049017001177084,0.17903897688941084,-0.007675086526060114
O=C1C=CC(=O)c2ccccc21,2.441,2.441,0.24884509142247224,-0.1149861774509211,0.009441275142808493
