smiles,CID,S1,UMAP_0,UMAP_1,S1err,T1err,global_cluster,_merge
CCCCCCNC(=O)C(C)(C)C#N,60779166,5.407412,7.374094500000001,2.3130182999999995,-0.7137600803630668,-1.304985557260753,792,left_only
CCCN1C(=O)C=C(C(=C1O)C#N)C,704165,4.4567260000000015,0.6714628,4.140142,0.2042196051924713,0.0474373393488748,3417,left_only
CCO/C(=C(\C#N)/C(=O)OC)/N,5325204,4.999772,6.943783,0.25160426,0.2899856860768873,0.2576828907471686,4,left_only
CCC(CN)C(=O)N(C)CCC(C)C,61838115,5.394062,8.141943,3.2368298,-0.4887945427453942,-0.6560200900910125,-1,left_only
CC(CN)(C1CC1)N2CCC3CCCCC3C2,43620311,4.591633,6.4371543,4.9742,-0.7006621606640545,-0.7272815309684342,1430,left_only
C1(=O)NC(=NC(=O)N1)[O-],19987037,4.880961,0.0054251269999999,3.8903458,2.905753815957272,2.3295831248631407,-1,left_only
C1COC2C(O1)SC(=C(S2)S)S,59155541,4.196543,5.592378599999999,7.142706,0.4007474635703819,-0.32335985583384,-1,left_only
C1=CC(=CC=C1NC(=O)NCCCN)[N+](=O)[O-],62269843,3.584198,-0.5996898,-0.8077772,-0.2800897543103414,-0.1836145125552865,-1,left_only
CCN(CC1CCC1)C(C)(C)C(=O)O,65458332,5.4018,8.613116,4.018376399999999,-0.2810188605626887,-0.5532299117925413,1050,left_only
CC1=CC2=C(C=C1)N=C(N2)C3=C(OC(=C3C)C)C,65153544,4.272582,-1.5034609,3.1819139,-0.0772518953915482,-0.532419972738786,-1,left_only
CCCN(CCC)N1C=CC=C1,69162369,5.2100550000000005,6.3019567,2.6227477,0.0506161513664782,-0.4598858447165037,-1,left_only
CC1=CC=CC=C1P(=O)(C2CCCCC2)O,71286516,5.066912,2.5526482999999995,0.47608048,0.1939374586601638,-1.328610205354972,-1,left_only
C1=CC(=CC=C1CC2=NN3C=NN=C3S2)N,54858886,4.035421,2.3822072,2.553566,-0.177720268667333,-0.4483757390424668,4500,left_only
CCCN1CC2=C(C1=O)C(=CC=C2)N,57640242,4.137705,1.4179788,5.626506,0.2923770523377345,-0.076005367528856,-1,left_only
CCCCNCC(C)N(C)C1CCCC1,62569512,4.813862,8.980925,4.3731860000000005,-0.5798295955436309,-0.6145668015245016,-1,left_only
CC1=C(C1(C(=C)C)C(C)(C)C)C,21719663,5.385749,8.943139,0.06748517,-0.6624234407546489,-1.3595469563545242,531,left_only
CCC(C1=CC(=C(C=C1N)N)Cl)S,57031484,4.315667,0.05991669,0.8745586999999999,0.1395769350163551,-0.2754050817448414,-1,left_only
C1=CC2=C(C=C1[N+](=O)[O-])C3=NC=NC=C3N2,69908696,3.73631,-1.5686842,1.6220168,-0.0351764919992113,-0.1187477230705286,-1,left_only
COC(=O)C1C[C@@H](C[C@H](C1)O)O,29921086,5.574312,6.2264876,6.565401,-0.4378729485511332,-0.959465505326764,-1,left_only
CCCC1C(CCC(=O)O1)C,68836175,5.457076,5.078876999999999,7.398475599999999,-0.2838463974040996,-0.8583869379080162,-1,left_only
CCN1C=C(C=N1)CN(C)CC(C)/C(=N/O)/N,62126179,5.067074,4.8576336,2.8592043,-0.1102064479115385,-0.4477577091461674,3137,left_only
CC(=O)OCC1(CC(CC1=O)(C)C)C,75245668,4.19307,5.7517414,7.8770275,-0.2393453798853034,-0.8292182396587814,-1,left_only
CCC1(CCC1)C(=O)NC(C)(C)C(=O)O,68248585,5.039803,7.344825699999999,5.8189187,-0.45934850236722,-0.9921313895874488,-1,left_only
CC1=CS/C(=C/2\C=CC(=O)C(=C2)C(=O)O)/N1,43150053,3.306107,2.218314,7.856587400000001,0.0628597527107167,0.1105661684192973,1043,left_only
CCCC1=CC=C(C=C1)C(=O)[C@H](C)Cl,2434793,3.653338,3.4693384,-0.37946606,-0.2462744324885821,-0.7359482430996799,4140,left_only
CCC(C)SSC/C=C/OS(=O)C,11042864,4.129718,9.71645,1.6622308,-1.1113689550371908,-1.6883034627106472,-1,left_only
CCC(C(C1=CC=CC=C1C)N(C)C2CC2)N,55018275,5.0033910000000015,2.6532044,-0.23972754,-0.2423142263469204,-1.2593259963019088,-1,left_only
CC(=S)/C=C/N,21721468,3.5117540000000003,8.392344,-0.29240635,0.0693551054677611,-0.0662463944603906,-1,left_only
CC1=NC=C(S1)CCCNC(C)C,63019090,4.595221,3.319603,2.6962852,-0.2711565532015806,-0.5757514747066533,-1,left_only
CC1=[C]C(=C(C(=C1C)F)F)F,57518045,1.94845,-0.14011267,1.5284523,0.1475817511157143,-0.1517815911913962,-1,left_only
CC=CC1=CC(=C(C(=C1)OC)O)C=CC,69822798,3.909187,-0.052436706,-0.36222175,0.1368465894925537,-0.5121192469583555,2622,left_only
