,SMILES,UMAP_0,UMAP_1
79,CC(=O)C1=CC=C(C=C1)OCC(=O)O,2.00771,-0.79654455
80,C1=CC(=CC=C1C(=O)NCCC(=O)O)N,3.9702787,0.33464962
81,CC1=C(C=CC(=C1)C2=NC3=C(S2)C=CC(=C3)F)N,-0.30170023,2.701055
82,C1=CC=C(C=C1)CCCC2=CC=CC=C2,5.3096504,-0.073066294
83,CC1C2=CC=CC=C2C3=C(C=CC=C13)C,0.6280345,6.0342827
84,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,5.1456847,1.770662
85,CCCCCCCOC(=O)C=C,4.6222906,-1.9738089
86,CC1=CC=CC=C1C=O,0.08979208,1.0208635
87,C1CCN(C1)CCC(=O)C2=CC=CS2,5.5691824,2.0068314
88,C1=CC=C2C=[O+]C=CC2=C1,-0.75819415,2.7689006
89,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)C(=O)O,1.1092665,3.16231
90,CC(CCN)CC(C)(C)C,1.800972,-2.4810827
91,CC1=NC(=C(N1C)C#N)C#N,1.0390849,3.5912375
92,CCC1=NC2=CC=CC=C2C=C1,0.9851558,2.3392227
93,CCC1(C(=O)NC(=O)N1)CC,3.6940494,7.5362115
94,CC(C)C1=CC=CC(=C1C(C)C)C2=CC=CC=C2,0.52933705,1.0174547
95,C1=CC=C(C=C1)C2=CC(=S)C3=CC=CC=C3O2,-1.4270777,2.18984
96,C1=CC=C(C=C1)C=CC2=CC3=CC=CC=C3C=C2,2.1164775,-1.880331
97,C1=CC=C2C(=C1)C3=C(C4=CC=CC=C24)SC=C3,-0.956157,2.202993
98,C1=CC=C2C=CC=C3C=CC=CC3=C2C=C1,1.0957179,6.0977974
99,C1=CC=C(C=C1)C2=CC=CS2,-0.003181092,3.253176
100,C1=CC(=C(C=C1F)N)C(=O)O,0.92409086,1.1457427
101,CC(CC(C(C)(C)C)O)O,10.546785,1.7575858
102,CC(C)(C)C1=CC=C(C=C1)CC(=O)O,3.3892155,-0.7611028
103,C1=CC=C(C=C1)C2=CC(=NN=N2)C3=CC=CC=C3,0.4000641,3.57474
104,CN(C)CCOC1=CN=CC=C1,2.3332832,-0.0130359605
105,C1=CC(=CC=C1CNC2=NNN=N2)Cl,4.0363145,1.0987556
106,C1=NC(=NS1)Cl,1.461921,3.087419
107,CCC12COP(=S)(OC1)OC2,2.3015819,4.605291
108,CN1CC2CCNC2C1,5.962374,5.915767
109,C1=CN=C(N=C1)C(=N)N,2.7643697,2.2333558
110,COC1=CC=CC=C1C2=CC=CC=N2,0.20944345,2.3862622
