SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_ML_S1fL,xtb_Lin_T1,xtb_Lin_S1,xtb_Lin_S1fL
CCCCCC(=O)CP(=O)(O)O,4369424,4.451,4.46,4.0145,4.574714,-0.43649999999999967,0.1147140000000002,0.0066,0.001205,-0.0053950000000000005,4.409264187400922,4.880176201382926,0.007512923614829704,3.7370673018461087,4.3749412865725485,0.02567678433585923
CC1=CC(=CN1)OC(F)F,59058142,4.563,4.663,3.9815,4.818279,-0.5814999999999997,0.15527900000000017,0.0011,0.002479,0.0013789999999999998,4.274120028501242,4.828462706349453,-0.040595049416821016,3.8256372246203734,4.53832548644907,0.020808614309850586
C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,8515,2.381,3.163,2.1944,3.198131,-0.18659999999999988,0.035131000000000245,0.228,1e-05,-0.22799,2.0225048562000327,3.137269494816967,0.18693737207297945,2.1628946903109307,3.375681780926942,0.12071500880001546
C1=CC=C2C(=C1)C3=C(C=C2O)C(=CC=C3)O,298916,3.125,3.766,2.6498,3.717286,-0.47520000000000007,-0.048713999999999924,0.0366,0.033965,-0.0026349999999999985,2.6737709447874116,3.7047452894484105,-0.015068706000024919,2.728895765954165,3.841744128515987,0.03668882671226883
C1=CC=C(C=C1)CCC#N,12581,5.074,5.072,3.7405,5.307156,-1.3335,0.23515599999999992,0.0001,4.7e-05,-5.300000000000001e-05,3.769505891254913,5.168937084049611,-0.005412443012626447,4.21812700260546,4.855636791670213,0.022558261036980137
CC1=CCCC(=CC=CCC1)C,21160126,4.046,5.274,1.8368,3.003798,-2.2092,-2.270202,0.3632,0.000594,-0.36260600000000004,3.512726116693529,5.275061437012019,0.21804595180704023,3.429009596001978,5.015004479291621,0.18127043261780615
C(C(C(=O)O)S)(C(=O)O)S,197883,4.934,5.001,4.8955,5.375177,-0.03849999999999998,0.37417699999999954,0.0251,0.005186,-0.019914,4.406210583105608,4.874235590669822,0.0060867253221875625,4.105248490857067,4.792485192984545,0.03170533347633485
CC1=C(C=C(C=C1)NC2=CC=CC=C2)C,14958605,3.46,4.146,3.149,4.152063,-0.31099999999999994,0.006063000000000152,0.0886,0.167409,0.078809,3.090852724425118,4.137607423351122,0.04473431363219972,2.985680073456616,4.1390084541729175,0.058718957319918795
CC1=NC2=CC=CC=C2C3=C1NC=C3,52952002,3.575,4.107,2.8847,4.192893,-0.6903000000000001,0.08589299999999955,0.0779,0.035563,-0.042337,3.0072175965060772,4.051995518618861,0.06813887402028014,3.0731577373363934,4.106526336450164,0.05450424140869947
CCCCCCCCOC1=CC=C(C=C1)N,123490,3.454,4.141,3.3785,4.351142,-0.07550000000000034,0.21014200000000027,0.0988,0.048281,-0.050519,3.541698649782121,4.514351835917023,0.0487572962576062,2.967953604611673,4.123671519957068,0.06423843595854736
CC1=C2C(=CC3=CC=CC=C13)C=CC4=CC=CC=C42,17026,3.5,4.341,1.9954,3.250621,-1.5046,-1.090379,0.0251,0.071512,0.04641200000000001,2.916464643050254,4.170326704618131,-0.01580909305513255,3.003439291745859,4.281207423791226,0.03341420901069361
C1=CC(=NC=C1F)C2=CC=NN2,67991692,3.737,4.736,3.2845,4.648543,-0.4525000000000001,-0.08745699999999967,0.4979,0.103081,-0.39481900000000003,3.1758348649314883,4.331907629656815,-0.029008229212976633,3.186267723285038,4.592340833863686,0.23115768934916373
CCC(=O)C1=CC=C(C=C1)Cl,22697,3.932,3.934,3.2487,3.737242,-0.6833,-0.196758,0.0001,1.4e-05,-8.6e-05,3.1935612095833035,3.7016817076852786,-0.0025355930475477978,3.345601019559269,3.9743845938187503,0.019359914594032458
C1=CC=C2C(=C1)C=C(O2)C=O,61341,2.906,3.827,2.635,3.597476,-0.27100000000000035,-0.22952400000000006,0.0001,8.6e-05,-1.4000000000000001e-05,2.566143433868966,3.786304505964634,-0.03578279841281828,2.552775898231545,3.8769862284496086,0.02086266569964575
CC(=O)OC(=O)CC(=O)Cl,59168428,5.364,5.364,4.432,4.922292,-0.9319999999999995,-0.4417080000000002,0.0081,0.000992,-0.007108,4.10615851973901,4.546604545612469,-0.013674310407894096,4.43442167371159,5.0755568489693665,0.024332319388186262
CC=C(C)CCCC(C)C,5352959,5.045,5.804,3.9855,5.650262,-1.0594999999999999,-0.1537380000000006,0.0147,0.005653,-0.009047,4.536995051099638,5.733836342222144,-0.018601673252064292,4.194312911534382,5.426491286565418,0.025853044806438564
CC(C)CC1=CC(=O)N(N1)C2=CC=CC=C2,56956216,2.993,4.053,3.3083,4.34343,0.31530000000000014,0.29042999999999974,0.4429,0.183579,-0.259321,2.996978304881396,4.270732891263042,0.32736663410031164,2.619376053832344,4.053223678181206,0.21290799736036314
C1=CNC(=S)C(=C1)N,5463181,2.114,3.279,3.4147,4.350236,1.3007,1.0712359999999999,0.2939,0.113566,-0.180334,2.9334958717432302,4.338668569526806,0.2159689652532629,1.95809466013094,3.462501227157267,0.15039118932862586
CCCCCCCCCCCCCCCC=C,23217,5.567,6.861,4.0844,6.472118,-1.4826000000000006,-0.38888199999999973,0.0395,0.040481,0.0009810000000000027,4.298183719665652,6.2688247395571,0.043133019888265754,4.597569089300524,6.257547849912403,0.038982760173810624
CCCCC1=CC=CC=N1,78750,4.826,4.935,3.8877,4.832548,-0.9382999999999995,-0.10245199999999954,0.0122,0.0042,-0.008,3.729559245105206,4.700735947844465,0.007509589438358803,4.030206017778987,4.749457914659838,0.026163496964256534
CC(=O)NC1=CC=CC=C1O,11972,3.875,4.535,3.4763,4.755684,-0.39869999999999983,0.22068399999999944,0.0938,0.000414,-0.093386,3.5125090250763287,4.675354217611142,0.1122442617505214,3.2982870061512872,4.43840765409821,0.06150552015019614
CC(=O)NC1=CC2=C(C=C1)OC=C2,787189,3.761,4.306,3.2649,4.45495,-0.4961000000000002,0.14895000000000014,0.0585,0.040531,-0.017969000000000006,3.3439113187766116,4.264802872171171,0.022698976930415816,3.2072946687911217,4.250516044473658,0.04619113762599149
CC1=CC(=CC=C1)P(=O)(C)C,4373650,4.979,5.011,3.6694,5.134815,-1.3096,0.12381499999999956,0.0006,0.011848,0.011248,3.9005340976018683,5.173273432531878,-0.010154735076090316,4.144381275908078,4.808952701635652,0.023167349306183214
CCCCCCC(CO)O,14231,7.246,7.253,5.9694,6.14148,-1.2766000000000002,-1.1115200000000005,0.0066,0.006655,5.500000000000036e-05,6.3897440751425405,6.653779446497019,0.00012499645556281018,5.889827230397913,6.564730149985595,0.025267886529096843
CCC(=O)C1=CC=CN1,61260,3.292,4.24,3.1172,4.112028,-0.17479999999999984,-0.12797200000000064,0.0001,9e-05,-9.999999999999999e-06,3.0362807113134,4.170995827703936,-0.07639530221927247,2.857572618064146,4.212002052631841,0.019359914594032458
C1=CC(=CC=C1C#N)F,14517,4.522,4.929,3.4298,5.086817,-1.0922,0.15781699999999965,0.0026,0.000632,-0.001968,3.52562041426493,4.929345554328485,0.05065711938554522,3.7928027170164778,4.743224932617672,0.021604472405126
C1C(C1N)C2=CC=CC=C2,19493,5.013,5.054,3.7118,5.046886,-1.3011999999999997,-0.007114000000000509,0.0,0.029289,0.029289,3.7256131142327007,5.1274293771805715,-0.008196925509951138,4.167891096998195,4.837976636803523,0.021984003650181827
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,6128,3.832,3.844,1.4956,3.812535,-2.3364,-0.031464999999999854,0.0004,0.028188,0.027788,3.0893955557546326,3.7483149076030737,-0.01604668142820333,3.268195977318709,3.901692489079137,0.020498819902360344
C1(C(C(OC(C1O)O)C(=O)O)O)O,94715,5.926,5.93,5.0846,5.64997,-0.8414000000000001,-0.28003,0.0056,0.000579,-0.005021,5.184353774376736,5.535395862190875,0.006436307059468695,4.864643368512155,5.516930285022838,0.02324805261051735
C1=CC(=CC=C1C2=CN=CN2)N=CNC#N,20201840,3.275,4.147,2.6584,3.702342,-0.6166,-0.44465800000000044,1.1665,0.719666,-0.44683400000000006,2.9012152502813238,4.170091577373162,1.1622594015500742,2.8335097329007533,4.130780598895463,0.5087901339608147
C=C(C1=CC=CC=C1)C2=CC=CS2,11321386,3.146,4.462,2.6606,4.293588,-0.48539999999999983,-0.168412,0.4401,0.150751,-0.28934899999999997,2.5848406301164166,4.279320699507734,0.28260184834291036,2.7303537864088576,4.376516645610891,0.20698346522995142
C1=CC=C(C=C1)C=CC2=CC=C(O2)[N+](=O)[O-],6441276,2.156,3.364,1.8653,2.801537,-0.2907000000000002,-0.5624629999999997,1.2109,0.025465,-1.185435,1.3870920094568195,2.6065858383843636,0.27362484076253524,1.991322205410302,3.5317638372061295,0.5578449872776843
C1=CC(=CC(=C1)C(F)(F)F)C(F)F,46311763,4.908,4.983,3.7,5.282148,-1.2080000000000002,0.29914800000000064,0.0045,0.003263,-0.0012369999999999998,3.8562852807518753,5.272310471530295,-0.0035158895537406075,4.089609889244441,4.786897675098871,0.024798482075472625
CC(=O)C1=CC=C(C=C1)NCC(=O)O,590691,3.232,4.066,3.1257,3.787916,-0.10630000000000006,-0.2780839999999998,0.0021,0.000122,-0.0019779999999999997,3.1616111522639208,4.0652560907459545,-0.11365602165767606,2.8098235876318784,4.071569925728552,0.02138926136911316
C1=NC(=S)NN1,2723802,2.971,3.849,4.1079,5.252928,1.1368999999999998,1.4039279999999996,0.0559,0.00419,-0.05171,3.4251833888949546,4.722437896451656,0.07093368760762195,2.612795872939248,3.9083797441484474,0.04417612458391333
C1=CC=C(C=C1)C=N,428166,4.113,4.707,3.1768,4.53548,-0.9362000000000004,-0.17152000000000012,0.017,0.002856,-0.014144,3.1075088174448897,4.592811393368783,0.07224191715866304,3.4781334561391084,4.565889271927858,0.02909130507330502
COC1=CC=C(C=C1)C=CC(=O)O,699414,2.951,4.217,2.4941,4.023127,-0.4569000000000001,-0.19387299999999996,1.01,0.657715,-0.35228499999999996,2.316982091846714,4.037246991560398,1.0979032533131234,2.5799253300791536,4.183535163414048,0.4453379691320118
CCCCCCCCC=C,13381,5.551,6.832,4.1406,6.383973,-1.4104,-0.44802699999999973,0.0349,0.019813,-0.015087,4.168002876574508,6.374243345694396,0.0614177464276302,4.576900022548844,6.224290376545821,0.03550710533155531
CC(=C)C(=O)OC(F)(F)F,91889,4.085,5.4,3.3377,4.826316,-0.7473000000000001,-0.5736840000000001,0.0021,2e-06,-0.002098,2.9131956825035137,5.03443168154513,-0.024135540938029183,3.4611270793259883,5.111217451115297,0.02125117774912236
CC12CCCCC1=CCC3C2CCC4(C3CCC4=O)C,151432,4.437,4.443,0.6761,2.078124,-3.7609000000000004,-2.3648759999999998,0.0003,0.000836,0.000536,3.424539008882457,4.321635925025378,0.003317982828414409,3.7306859301140154,4.369637164197388,0.0194488615832435
CCC(=O)C1=CC=NC=C1,74343,3.797,3.798,3.1006,3.597062,-0.6964000000000001,-0.20093799999999984,0.0001,3.9e-05,-6.1000000000000005e-05,3.121333322341479,3.5223358033825907,0.02071327370576811,3.2426575286188917,3.8687768343462654,0.019359914594032458
CC(C)OCC(C)O,19846,6.803,6.809,6.4609,6.557614,-0.3421000000000003,-0.2513860000000001,0.021,0.006506,-0.014494000000000002,6.245299885805952,6.4141546538067775,0.007746586424370917,5.530923177579478,6.206389953418997,0.02952423853039842
